time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-03-24T17:29:13.140Z,36.0423317,-120.6073303,3.58,1.05,md,12,101,0.02792,0.11,nc,nc73709861,2022-03-24T17:37:17.246Z,"22km NW of Parkfield, CA",earthquake,0.46,0.8,0.38,4,automatic,nc,nc
2022-03-24T17:17:11.460Z,38.7993333,-122.811,2.35,1.53,md,51,69,0.01262,0.03,nc,nc73709856,2022-03-24T21:31:13.379Z,"5km WNW of The Geysers, CA",earthquake,0.16,0.22,0.089,15,reviewed,nc,nc
2022-03-24T17:15:19.120Z,38.8330002,-122.8150024,1.65,1.05,md,23,45,0.01033,0.04,nc,nc73709851,2022-03-24T18:10:13.140Z,"8km NW of The Geysers, CA",earthquake,0.21,0.43,0.15,5,automatic,nc,nc
2022-03-24T17:08:57.640Z,33.7766667,-116.9251667,14.11,0.8,ml,17,153,0.04736,0.12,ci,ci39976847,2022-03-24T17:42:16.074Z,"3km ESE of San Jacinto, CA",earthquake,0.61,0.45,0.231,9,reviewed,ci,ci
2022-03-24T17:08:22.350Z,36.5881653,-121.1723328,6.44,1.43,md,10,144,0.01951,0.07,nc,nc73709846,2022-03-24T19:35:16.675Z,"7km NNW of Pinnacles, CA",earthquake,0.6,0.58,0.16,6,automatic,nc,nc
2022-03-24T17:00:51.915Z,38.1643,-117.873,7.7,1.4,ml,17,109.13,0.073,0.1375,nn,nn00835928,2022-03-24T18:23:25.849Z,"32 km SE of Mina, Nevada",earthquake,,1.6,0.38,6,reviewed,nn,nn
2022-03-24T17:00:36.450Z,17.981,-66.9576666666667,12.21,2.31,md,30,161,,0.38,pr,pr71341858,2022-03-24T18:28:45.040Z,"4 km W of Fuig, Puerto Rico",earthquake,0.67,0.43,0.210560034997665,14,reviewed,pr,pr
2022-03-24T16:46:41.820Z,39.4215,-110.3131667,-1.48,1.81,md,8,194,0.009601,0.04,uu,uu60486887,2022-03-24T16:55:46.040Z,"15 km SSE of Sunnyside, Utah",earthquake,0.76,0.45,0.376,7,reviewed,uu,uu
2022-03-24T16:42:11.093Z,60.617,-150.8953,51.8,1.5,ml,,,,0.88,ak,ak0223tjdrl9,2022-03-24T16:52:28.890Z,"11 km NW of Sterling, Alaska",earthquake,,1.8,,,automatic,ak,ak
2022-03-24T16:35:30.405Z,64.2599,-148.5348,0,1.5,ml,,,,1,ak,ak0223tjcb27,2022-03-24T16:48:27.838Z,"31 km E of Clear, Alaska, Alaska",earthquake,,0.3,,,automatic,ak,ak
2022-03-24T16:34:13.040Z,38.8204994,-122.8119965,3.2,0.92,md,31,41,0.003258,0.02,nc,nc73709841,2022-03-24T17:13:12.812Z,"7km NW of The Geysers, CA",earthquake,0.21,0.41,0.05,5,automatic,nc,nc
2022-03-24T16:33:26.430Z,33.9135,-117.1278333,18.85,1.03,ml,36,73,0.05038,0.14,ci,ci39976807,2022-03-24T17:38:04.900Z,"9km E of Moreno Valley, CA",earthquake,0.17,0.3,0.183,18,reviewed,ci,ci
2022-03-24T16:30:17.510Z,17.9051666666667,-67.114,10.55,2.07,md,3,290,,0.05,pr,pr71341848,2022-03-24T16:55:27.130Z,"10 km SW of La Parguera, Puerto Rico",earthquake,1.85,1.92,0.127782463354706,3,reviewed,pr,pr
